"","cg05533922","cg05238843","cg10401223","cg09447640","cg17414971","cg10351360","cg13841043","cg12961175","cg26532087","cg23261533","cg10655125","cg21808985","cg08717168","cg21699868","cg22629941","cg12997640","cg11927004","cg12777530","cg07711600","cg18374944","cg08492515","cg17502102","cg03260858","cg08219548","cg07750690","cg26382680","cg24224180","cg02673680","cg08709087","cg08909934","cg01755841","cg06001803","cg27153146","cg05017379","cg25784611","cg09024948","cg11420269","cg01727409","cg08406749","cg15524170","cg17810601","cg24911714","cg26029058","cg10637657","cg21195480","cg22524462","cg22199238","cg13538749","cg07345911","cg00775816","cg13102418","cg22510961","cg03040092","cg14841103","cg15765046","cg17346974","cg16488105","cg17292712","cg03234023","cg17741937","cg20075042","cg10223464","cg17139988","cg14736971","cg04549489","cg19888581","cg05217838","cg10894567","cg09296845","cg03741773","cg19903593"
"PDD22",0.3232136,0.9109178,0.9550724,0.9362938,0.939157,0.9692587,0.9298912,0.951555,0.9629689,0.9757325,0.974492,0.9489561,0.9205258,0.8148676,0.9302413,0.9442628,0.9742457,0.9507654,0.8969878,0.9406132,0.006853915,0.9628991,0.8908138,0.9837822,0.8329665,0.9126267,0.9618386,0.9585207,0.9809695,0.9262926,0.3660619,0.9789659,0.964732,0.0151587,0.899709,0.8916989,0.9311496,0.8763169,0.9828607,0.8093892,0.9575723,0.8924516,0.8629887,0.9601882,0.9517227,0.9844829,0.5847803,0.964009,0.9241499,0.8883585,0.9799734,0.702115,0.8448003,0.7230361,0.9489962,0.3794292,0.9177114,0.9632862,0.9918032,0.8173736,0.9145372,0.9038972,0.9211302,0.9844493,0.9580652,0.9548785,0.9525474,0.9423647,0.9781294,0.9815012,0.9521515
"DLB15",0.2700643,0.8811852,0.9401212,0.884765,0.9514031,0.9260882,0.8697508,0.9284176,0.9767056,0.9558413,0.9528978,0.9080463,0.9102095,0.8458005,0.8552445,0.9415713,0.9753342,0.9404683,0.8261547,0.9431459,0.01057523,0.9246856,0.8586114,0.973051,0.9229353,0.9297321,0.9398463,0.9239677,0.9615517,0.946702,0.3687701,0.9569679,0.9742678,0.02382261,0.8379273,0.8200656,0.8999218,0.8914551,0.9574091,0.8531223,0.9487068,0.9039244,0.8310974,0.9452918,0.9499469,0.9548701,0.5959062,0.9536361,0.9127111,0.8614446,0.9797961,0.6543905,0.6769309,0.7216393,0.8908523,0.3623495,0.8558129,0.9651672,0.9833735,0.8138246,0.9164126,0.9175723,0.7901523,0.9802292,0.9199201,0.9358889,0.9461165,0.9507431,0.9567237,0.9827377,0.9101291
"PD50",0.2786623,0.9172826,0.9359303,0.8857917,0.9694392,0.939591,0.9232639,0.9493195,0.9632954,0.9747044,0.9817808,0.9262386,0.8733692,0.846623,0.888965,0.9562002,0.9604858,0.9570037,0.9061388,0.9468055,0.006106412,0.9508485,0.852585,0.9753083,0.8944842,0.9287824,0.9554063,0.9329908,0.965415,0.9242968,0.3722814,0.9661153,0.9764276,0.01436624,0.8934687,0.9434367,0.8825405,0.9266204,0.9570788,0.8394612,0.9550514,0.9158477,0.8749192,0.9696812,0.9500917,0.9533668,0.7171797,0.9663154,0.9051128,0.8434998,0.9605399,0.5187188,0.8501154,0.716126,0.8820693,0.3826093,0.8391181,0.9622754,0.9916448,0.839453,0.9061479,0.9084483,0.8840938,0.9749252,0.9487418,0.9700858,0.9648729,0.9401521,0.9394185,0.9872438,0.8992297
"CTRL29",0.2640073,0.9353757,0.9619612,0.8544787,0.9625461,0.93435,0.8386843,0.9745725,0.9504251,0.9854394,0.986826,0.9399369,0.8558271,0.77791,0.9432862,0.9349638,0.9505187,0.9537605,0.8259583,0.9055338,0.01047681,0.9380185,0.7965529,0.9866026,0.8504917,0.8824531,0.9318309,0.9197175,0.9546468,0.9041876,0.3797218,0.9496057,0.9757903,0.01959404,0.7999939,0.9233369,0.8969249,0.8303576,0.9690339,0.6998124,0.9418747,0.8274871,0.810306,0.9402381,0.9438764,0.9239851,0.5127836,0.950891,0.8994813,0.8310226,0.967492,0.7223708,0.7842654,0.6418194,0.9599165,0.265578,0.9092334,0.9547796,0.9794214,0.7071418,0.8768862,0.9027922,0.8918372,0.9723775,0.9274236,0.9694501,0.9385012,0.9249344,0.9732896,0.9828992,0.9129099
"PDD54",0.3360506,0.8623693,0.9454749,0.8249343,0.9551873,0.9304121,0.8991553,0.9463012,0.9543401,0.9661999,0.9659451,0.9219108,0.8815375,0.9052164,0.8382778,0.9471658,0.9588914,0.9563983,0.8849448,0.9189787,0.01114128,0.9529806,0.8525583,0.9869595,0.8825362,0.9157568,0.9480972,0.9152867,0.9642683,0.9343626,0.3565175,0.9558952,0.9646859,0.01522093,0.8695314,0.8857371,0.8509936,0.8817013,0.9740012,0.8115298,0.9595208,0.8785765,0.8794796,0.9609829,0.9640407,0.9315272,0.6879274,0.9699828,0.929491,0.8463968,0.9685955,0.5987424,0.8288747,0.7237435,0.9096215,0.4058496,0.8643682,0.9631647,0.9880739,0.8155051,0.9136565,0.9322353,0.8860639,0.9682449,0.9299307,0.9434962,0.9493958,0.9499743,0.9516365,0.9850032,0.9307549
"PDD27",0.2911775,0.8288043,0.946593,0.92684,0.9680377,0.8967138,0.937624,0.9728691,0.9630527,0.9505957,0.9825065,0.9068628,0.9069914,0.9141204,0.8811848,0.9565782,0.9767137,0.9072689,0.9254999,0.9497229,0.01111731,0.9459921,0.89579,0.9834601,0.8993683,0.9538695,0.960433,0.9358113,0.9783597,0.9280915,0.4237868,0.9838146,0.9901889,0.02129887,0.880357,0.9124611,0.9294664,0.8835763,0.9799185,0.8144967,0.9698546,0.8645996,0.8980192,0.9716401,0.9486269,0.9416118,0.6090062,0.9794138,0.9066506,0.8473683,0.9648026,0.5740508,0.7611845,0.7701413,0.9059009,0.4350222,0.8683173,0.9704792,0.9870482,0.9049865,0.9310981,0.9323815,0.9307843,0.9740466,0.9573343,0.9605947,0.9477536,0.9617078,0.9796548,0.9848534,0.9497326
"DLB24",0.3560545,0.8866066,0.9694859,0.8745964,0.9280299,0.9242887,0.8862019,0.9786762,0.9640786,0.9694891,0.9740316,0.9259709,0.8880613,0.8568776,0.8694876,0.9409594,0.9308935,0.9572382,0.8669661,0.9208404,0.006445408,0.9347917,0.8607202,0.983212,0.8998142,0.923952,0.9483422,0.9011859,0.9865523,0.9427496,0.4326764,0.9550165,0.9699845,0.01895983,0.8593072,0.9321684,0.889162,0.9096138,0.9814154,0.7999903,0.9468986,0.8754113,0.8265344,0.9450352,0.9620467,0.9300334,0.6345517,0.9440981,0.9499624,0.8530828,0.9699438,0.6434322,0.8377844,0.673624,0.9773411,0.3465342,0.8067702,0.9557339,0.9773494,0.8245866,0.9209918,0.8968354,0.8531067,0.9516169,0.9462019,0.9844044,0.9553402,0.949892,0.9634985,0.988134,0.900964
"PD23",0.3329543,0.8790642,0.9510296,0.9313182,0.9628769,0.9105554,0.9295723,0.9350416,0.9701419,0.981926,0.9841707,0.9545964,0.9311495,0.8971838,0.928139,0.9527917,0.9727396,0.9435951,0.8936927,0.9754436,0.004539551,0.9327856,0.838329,0.9761605,0.8985413,0.9165353,0.9801532,0.9424616,0.9833701,0.9216434,0.424967,0.9692937,0.9723213,0.01588659,0.8745239,0.9236215,0.9263073,0.9170409,0.9669503,0.8011346,0.9577294,0.9109221,0.8468958,0.9626028,0.9674333,0.9291079,0.6588059,0.9721719,0.9233175,0.8942045,0.9669208,0.5108256,0.7611989,0.7000737,0.8562262,0.3899304,0.8583715,0.9721369,0.9874269,0.8989387,0.9115528,0.9082806,0.8898824,0.9860265,0.9593837,0.965133,0.9637144,0.9643165,0.9210646,0.9838914,0.9016649
"PD30",0.290198,0.8039287,0.9400198,0.8677191,0.9670301,0.9162847,0.9148719,0.9508847,0.9627251,0.9780589,0.9665879,0.9402595,0.8949893,0.8655733,0.9075745,0.9359824,0.968958,0.9531395,0.9052636,0.9451792,0.003921239,0.9524866,0.8643907,0.9751299,0.8773052,0.9220833,0.9527361,0.9223777,0.9753001,0.9310673,0.3902314,0.9648786,0.9653332,0.02327805,0.8239063,0.9039874,0.8744731,0.907642,0.9512136,0.807468,0.9611596,0.8785313,0.9016677,0.9351784,0.9249855,0.9612337,0.6449526,0.9537815,0.9437054,0.8306351,0.9356985,0.6193872,0.8308218,0.7030592,0.9468165,0.4232646,0.8441643,0.9588936,0.9879369,0.819779,0.9229339,0.918079,0.8882207,0.9872405,0.9438736,0.9782972,0.9524488,0.9430864,0.9424028,0.9773811,0.9070752
"PDD15",0.3590574,0.8276022,0.9513695,0.8786859,0.9702916,0.8694721,0.8976655,0.8812353,0.9623136,0.9579911,0.9789133,0.9167519,0.899919,0.8783817,0.8605472,0.9529494,0.9805992,0.9491811,0.916086,0.8823994,0.009297696,0.9443119,0.8946486,0.9758737,0.9432908,0.9314934,0.9732543,0.9531298,0.9586371,0.9314747,0.364222,0.9615,0.9814988,0.02036985,0.9117026,0.8845893,0.9217435,0.9098993,0.9712054,0.7944866,0.9562973,0.9103549,0.8582193,0.9615561,0.9607428,0.9217121,0.5625782,0.958734,0.9189918,0.8563377,0.9664192,0.5813832,0.6979003,0.733444,0.9116531,0.3194263,0.8597261,0.9507292,0.9794433,0.8329517,0.9136614,0.9230123,0.9116213,0.9884191,0.9553319,0.9402782,0.9669745,0.9648787,0.730388,0.9877473,0.9469479
"CTRL50",0.3441685,0.9146078,0.9600162,0.8932606,0.9489095,0.964134,0.9091515,0.9368192,0.9642723,0.9638316,0.973321,0.9536987,0.8708812,0.8564766,0.9169177,0.9624193,0.9694532,0.9729043,0.8857004,0.9222232,0.006791015,0.9599162,0.8728691,0.9892549,0.8712885,0.8991233,0.9425635,0.9476271,0.9802274,0.9236511,0.4198169,0.9719143,0.9710997,0.01388232,0.8980202,0.9387683,0.8915083,0.9433456,0.9855955,0.767908,0.9487195,0.8690659,0.8696323,0.9403212,0.9733987,0.9372047,0.6382853,0.9712562,0.9610721,0.8668585,0.9776057,0.6408074,0.7699964,0.7070036,0.9520689,0.4037189,0.8858366,0.9676111,0.9889149,0.8391534,0.9290512,0.9332312,0.8059453,0.975096,0.9662725,0.9916169,0.9760718,0.9475535,0.9600991,0.9862564,0.9206316
"CTRL93",0.3665643,0.8934398,0.9779261,0.8645848,0.9436946,0.9142522,0.8390106,0.9212664,0.9651911,0.9800896,0.9504852,0.9508938,0.8741192,0.8073654,0.8564781,0.9433004,0.9727338,0.954947,0.8814643,0.9427908,0.001314094,0.943286,0.8683746,0.9773398,0.8346954,0.8938417,0.9527349,0.9632018,0.955682,0.9249633,0.3752975,0.9595242,0.9790059,0.01827082,0.8387118,0.9200473,0.8966009,0.8973137,0.9752782,0.7923571,0.960494,0.9090831,0.8671043,0.9537536,0.9417158,0.9429667,0.6816717,0.9613394,0.9113495,0.8218692,0.9610619,0.4156732,0.6561881,0.7612585,0.8963568,0.506703,0.8605075,0.9705562,0.9921444,0.9032665,0.9247427,0.908522,0.8873555,0.9651808,0.9519505,0.9762011,0.9748549,0.9488825,0.9505887,0.9837182,0.9550961
"PDD35",0.279821,0.8966656,0.9571405,0.8822599,0.9626657,0.9368403,0.9109996,0.9541352,0.972429,0.9722147,0.9863139,0.9307953,0.8867251,0.8847426,0.8461527,0.9454799,0.9681484,0.9561843,0.9005175,0.9540807,0.005856305,0.929431,0.8263563,0.9758199,0.7978073,0.9292281,0.9707693,0.9452669,0.9678874,0.9528229,0.4110187,0.9721601,0.9799733,0.01773795,0.8771451,0.8491978,0.908833,0.906184,0.9808322,0.8431341,0.9496417,0.8750314,0.8310002,0.9530108,0.9751017,0.9370332,0.6764408,0.9510659,0.9114966,0.819499,0.9819409,0.6621946,0.7523328,0.6922886,0.9327196,0.4325828,0.8569288,0.9654106,0.9884357,0.8483937,0.8859418,0.9164626,0.8381985,0.9850924,0.9257969,0.972669,0.9618451,0.9485088,0.9412383,0.9783376,0.9394054
"CTRL73",0.2728566,0.9024006,0.9654671,0.8228259,0.9726803,0.8457942,0.8761672,0.8323392,0.9741503,0.9912669,0.9858264,0.9540945,0.8893322,0.8758685,0.8015145,0.9207158,0.9707674,0.8821766,0.92413,0.9366094,0.005447445,0.9297651,0.9076446,0.9595176,0.8682744,0.9354049,0.9275386,0.9285877,0.9653388,0.9589688,0.4950601,0.9617923,0.9541553,0.01395882,0.860188,0.8938124,0.8487102,0.9036573,0.9701093,0.8531475,0.9569467,0.8871126,0.8580885,0.9689945,0.9135182,0.9252544,0.6725214,0.9783511,0.8446421,0.8393466,0.9816988,0.5729608,0.5774806,0.6877229,0.9540035,0.3228448,0.8716129,0.9691807,0.9898376,0.7919781,0.9130781,0.914525,0.8285781,0.9740264,0.9442857,0.9600342,0.9696973,0.9513738,0.9329008,0.974522,0.9586873
"PDD6",0.3271285,0.9234278,0.957662,0.91701,0.961652,0.9590071,0.8942501,0.9366131,0.9634098,0.9753894,0.9851699,0.928566,0.9054686,0.8275302,0.9153844,0.9518049,0.9703252,0.94155,0.8769946,0.9396533,0.003246696,0.950546,0.8935688,0.9801751,0.8554243,0.9259225,0.9231639,0.9172387,0.9847176,0.9327337,0.4551892,0.9594684,0.9710807,0.01340249,0.8726885,0.8889433,0.9355905,0.8816546,0.9693526,0.8087931,0.9666465,0.8892455,0.8356743,0.9503552,0.9682717,0.9593634,0.6538442,0.9574925,0.9266513,0.9149824,0.9699211,0.7429623,0.7962529,0.7392523,0.9333113,0.4328644,0.9243617,0.9713178,0.9818594,0.8243407,0.9265942,0.9055897,0.8335321,0.9792391,0.9062597,0.9621884,0.9638019,0.9384168,0.9805123,0.9687624,0.9571654
"CTRL13",0.2997449,0.9174116,0.9424592,0.9002651,0.9727661,0.9507329,0.8635065,0.9310455,0.9627196,0.9729709,0.9762659,0.9534202,0.9162199,0.8478705,0.8852966,0.9576836,0.9609468,0.9571458,0.9142349,0.9349193,0.008651902,0.9277391,0.7897678,0.9852396,0.869175,0.9417844,0.9612438,0.9182428,0.9829422,0.9331023,0.4040314,0.9742877,0.9875458,0.01673158,0.846181,0.8780795,0.8685456,0.8972139,0.9564932,0.8030257,0.9506279,0.8727316,0.817681,0.970009,0.9645055,0.974998,0.66632,0.9494385,0.9427389,0.8345488,0.97019,0.5329909,0.7783145,0.6555266,0.9452392,0.3746418,0.8384854,0.9500891,0.9833164,0.8198601,0.8717055,0.8887313,0.7546175,0.9825813,0.9266856,0.9758004,0.9727223,0.9561349,0.927289,0.9824958,0.8510552
"PDD73",0.332954,0.8496124,0.9214218,0.9305792,0.9728868,0.9326501,0.9324823,0.9469729,0.9803493,0.969354,0.9724379,0.954986,0.9236959,0.9591041,0.8316819,0.965929,0.9758181,0.8767917,0.9426479,0.9443426,0.00226432,0.9642164,0.9130985,0.9683065,0.9367096,0.96093,0.9796633,0.9459081,0.9616192,0.953064,0.3860076,0.9756229,0.9808423,0.01271197,0.9325176,0.891152,0.9520484,0.8809746,0.9718078,0.8254986,0.9783066,0.8928596,0.9069908,0.976118,0.9396858,0.89904,0.6126508,0.9747312,0.8691407,0.9189328,0.974782,0.6018956,0.8167406,0.703558,0.7580767,0.5016197,0.9354523,0.9752756,0.9912729,0.876498,0.9531255,0.9487226,0.9351115,0.982535,0.9650845,0.9613766,0.9784687,0.9733677,0.9802451,0.9834792,0.9451321
"CTRL81",0.2903765,0.8828423,0.8867496,0.9226238,0.946792,0.84275,0.904669,0.9559677,0.9753041,0.967152,0.9492436,0.9340426,0.8813182,0.8548437,0.9000832,0.9452245,0.9668525,0.8711383,0.8432682,0.950912,0.004416297,0.9335221,0.8763004,0.9724889,0.7587513,0.9176244,0.9470186,0.9391348,0.9615954,0.9392613,0.4154177,0.9772906,0.9852229,0.01415557,0.8809585,0.937708,0.8816419,0.8466981,0.9786571,0.8238712,0.9666645,0.9021371,0.8562061,0.9512208,0.9541862,0.9293312,0.6163672,0.9589342,0.9267295,0.8809493,0.9636883,0.5781326,0.7843077,0.6491155,0.8740509,0.3738978,0.8885668,0.9673222,0.9678715,0.7704482,0.931401,0.8871156,0.9017635,0.976454,0.9729189,0.9737551,0.9769782,0.9300586,0.9479492,0.9771111,0.8734536
"CTRL33",0.3852933,0.8573784,0.9541073,0.8584421,0.9471721,0.8806019,0.9182318,0.9259428,0.9520351,0.9807957,0.9786529,0.9170979,0.9195824,0.890716,0.8540647,0.9491713,0.9706053,0.9508516,0.8941776,0.9501375,0.007616817,0.9296998,0.8822513,0.9721511,0.8156526,0.9182633,0.9456017,0.9257266,0.9658511,0.9208534,0.3975723,0.9720319,0.9784625,0.01580159,0.8857336,0.9225264,0.8963977,0.9301896,0.9240022,0.8463175,0.9543653,0.8987129,0.8381145,0.9584331,0.9610391,0.9401804,0.7854029,0.9643448,0.9568358,0.8596917,0.9634817,0.6203895,0.7386445,0.6753935,0.9250534,0.4158489,0.79272,0.9536643,0.9747314,0.8741495,0.885564,0.9187458,0.8247956,0.9684168,0.9349636,0.9427605,0.9563798,0.9468646,0.9351753,0.9749457,0.9117163
"PDD49",0.3145086,0.9088124,0.9245191,0.8499169,0.968202,0.9195617,0.9264352,0.9593486,0.9371294,0.9569227,0.9751769,0.8844659,0.8646226,0.7841955,0.9332841,0.9400578,0.9596199,0.9506385,0.8930992,0.9162211,0.006222412,0.9224555,0.8505619,0.9862617,0.8624043,0.8960711,0.9460014,0.9121125,0.9692649,0.918067,0.4005282,0.9485578,0.9711768,0.0167459,0.8432501,0.8866707,0.8426467,0.8799427,0.9721338,0.7669742,0.9609037,0.8413926,0.8454979,0.9310264,0.9426145,0.9202306,0.6211411,0.960042,0.9277707,0.8498337,0.9638449,0.810878,0.7942914,0.6268709,0.9543989,0.2508691,0.8846616,0.9287061,0.9592274,0.8228655,0.9115638,0.8942072,0.9127281,0.9570198,0.9083879,0.9554283,0.955045,0.94399,0.9753303,0.9765792,0.9270131
"PD27",0.3067262,0.8543103,0.9350192,0.8435138,0.9586523,0.9279795,0.8595638,0.9470366,0.9687443,0.987865,0.9714537,0.9467687,0.8848358,0.886824,0.9403104,0.9795719,0.9650278,0.9526328,0.8654263,0.9514318,0.007974687,0.946769,0.8612901,0.9759395,0.8866286,0.929414,0.9706987,0.9458863,0.9607012,0.9644318,0.4448944,0.9660717,0.9684339,0.02271896,0.8660754,0.8668752,0.8715176,0.9311834,0.9486541,0.7616203,0.9524182,0.9095686,0.864829,0.9575812,0.9660956,0.9081845,0.6222986,0.9594446,0.8791347,0.8676741,0.9637361,0.6320929,0.6735172,0.6945676,0.9287738,0.4379974,0.8771293,0.9597518,0.9794702,0.8812014,0.9127337,0.9051423,0.9040504,0.980376,0.9558859,0.9497977,0.9510116,0.9396347,0.9697505,0.9478586,0.9248814
"PDD4",0.3815774,0.7802125,0.9110089,0.9411659,0.9561365,0.8911161,0.9438608,0.9541263,0.96865,0.9575888,0.9675501,0.9042157,0.9037998,0.889767,0.8434981,0.9534571,0.9565193,0.9050574,0.8738829,0.8543519,0.0107416,0.9457993,0.8615047,0.9406691,0.9255682,0.9298715,0.9507537,0.932635,0.9453218,0.9392684,0.3815133,0.9626717,0.9771504,0.01970225,0.9141147,0.8620351,0.9312609,0.822423,0.9633823,0.8719737,0.9430583,0.8966457,0.86892,0.9703742,0.9438842,0.9225321,0.6691127,0.9720291,0.8357159,0.9007695,0.9781919,0.5731923,0.8398482,0.7544589,0.7575721,0.3765519,0.883937,0.9627755,0.9787006,0.8395494,0.9159509,0.9341793,0.9288015,0.979957,0.9610508,0.934801,0.9559035,0.947596,0.9502677,0.9794983,0.9474674
"PD58",0.3465069,0.8946218,0.9592218,0.9176453,0.9471754,0.9711205,0.9353145,0.9145529,0.9661827,0.972088,0.9735456,0.9439106,0.917793,0.9028831,0.9173244,0.947834,0.9640516,0.9081007,0.9343807,0.9205977,0.00606939,0.9506389,0.885304,0.9770316,0.9015051,0.9106889,0.9560708,0.9282419,0.9691103,0.9250448,0.3690054,0.9565733,0.9724314,0.01942178,0.8857753,0.9017195,0.921788,0.9443992,0.9798762,0.8086352,0.9606336,0.8562407,0.8642037,0.9559049,0.982381,0.9387967,0.6200951,0.9756693,0.8705314,0.8379447,0.9825153,0.6040248,0.7688821,0.7393203,0.9372588,0.4234992,0.9062644,0.9573178,0.9847685,0.8218472,0.9271081,0.9115589,0.8944423,0.9747004,0.9591296,0.9488223,0.9648637,0.9485132,0.9815389,0.9848722,0.9550411
"CTRL85",0.2432137,0.8684101,0.9485603,0.8661891,0.9751064,0.9299931,0.9280005,0.9646101,0.9758458,0.97012,0.9837361,0.9387736,0.9065257,0.8860125,0.8176933,0.9467561,0.6924339,0.9569328,0.9055791,0.9564445,0.003428838,0.9275459,0.7971377,0.9856657,0.9311264,0.9127836,0.9609175,0.9422105,0.9760833,0.9511965,0.3880611,0.9483339,0.9723819,0.01395619,0.8718617,0.9409066,0.9098764,0.8727108,0.9761672,0.8335346,0.9616774,0.8612127,0.8687368,0.9434728,0.9554188,0.9163529,0.7130678,0.9736877,0.9233127,0.8764168,0.9622099,0.5949991,0.779298,0.6860332,0.9528035,0.2876168,0.81667,0.9775277,0.9861091,0.8553199,0.9304498,0.918373,0.9109233,0.9687134,0.9290803,0.9285193,0.9645438,0.9611612,0.9591162,0.9911476,0.8978001
"PD52",0.2810268,0.9179331,0.9740902,0.8679062,0.9568043,0.9575381,0.8948621,0.9137962,0.9616251,0.9744477,0.9879229,0.9469269,0.8760606,0.7979535,0.9108186,0.9632168,0.9643726,0.9577202,0.8677568,0.9307449,0.0009577444,0.9297186,0.8983239,0.9869524,0.8596003,0.9300284,0.918444,0.9138152,0.974937,0.8859596,0.3566303,0.9606939,0.9631741,0.007774847,0.8756666,0.9378906,0.9520972,0.9273063,0.9729607,0.8110216,0.9576985,0.836798,0.8647252,0.9546507,0.953485,0.9472782,0.5376759,0.9675714,0.9656396,0.9000319,0.9760102,0.6983615,0.8408444,0.6836176,0.9129864,0.2913663,0.843782,0.9441359,0.9906246,0.7895537,0.9224049,0.8867303,0.945597,0.9673404,0.9572945,0.9652629,0.9666517,0.927849,0.9731608,0.9870192,0.944515
"PD60",0.2637802,0.8773055,0.9441735,0.8428073,0.9385105,0.9282286,0.9431777,0.9721499,0.966819,0.9791795,0.9698253,0.9256993,0.9159612,0.8264137,0.9302965,0.927054,0.9648058,0.9443716,0.9035767,0.9529055,0.003228464,0.9637365,0.8885896,0.9706295,0.8922677,0.9440488,0.9498364,0.9243574,0.9880845,0.946752,0.3760735,0.9661032,0.9714603,0.01731381,0.87243,0.8917684,0.8661751,0.9026642,0.9699037,0.8576553,0.9712796,0.9169384,0.9101707,0.9591973,0.9637786,0.9273627,0.7077937,0.9798205,0.9187008,0.8273338,0.9736114,0.6352957,0.7858985,0.7505005,0.9468918,0.3840115,0.9121193,0.963614,0.9867723,0.882483,0.9328225,0.9270524,0.784974,0.988228,0.9417626,0.9771298,0.9488356,0.9697109,0.9447492,0.9757218,0.9450562
"PD61",0.2724629,0.8809789,0.9686563,0.854194,0.9624983,0.9808945,0.9072117,0.9414137,0.9666632,0.974866,0.9748016,0.9534863,0.9093577,0.836107,0.8904908,0.9083755,0.9633082,0.9344018,0.8686883,0.8811125,0.01000257,0.9459309,0.8516901,0.9823272,0.8680424,0.915361,0.9621106,0.926568,0.9785803,0.9634365,0.4582935,0.9553223,0.9706059,0.01325645,0.8651668,0.8690316,0.8601005,0.8622891,0.9370219,0.7985828,0.9514228,0.8684599,0.887154,0.9417218,0.9524108,0.9151531,0.681439,0.9551208,0.9233912,0.8178252,0.9556435,0.6301244,0.7532554,0.672534,0.9616672,0.286735,0.8589418,0.9734299,0.9791718,0.8399342,0.9473095,0.9221488,0.8408254,0.9769688,0.94883,0.9613756,0.9731151,0.9313877,0.9346033,0.9968187,0.9095335
"CTRL11",0.390879,0.8674746,0.9230298,0.9432785,0.9514855,0.9317482,0.9415838,0.9387045,0.9584264,0.9758351,0.9700404,0.8608924,0.9197569,0.8994787,0.9357392,0.9711647,0.7636318,0.9393167,0.8842837,0.9333196,0.001119466,0.9146025,0.9022771,0.9875895,0.8881774,0.9163491,0.9675361,0.937706,0.985067,0.9575939,0.4313638,0.9791443,0.9899909,0.01981161,0.8499074,0.9300751,0.9134233,0.8855618,0.9831796,0.8373493,0.9641873,0.90632,0.8572915,0.9601574,0.9683013,0.9551785,0.6779003,0.9647497,0.9177086,0.8387864,0.9561871,0.6348465,0.8039989,0.6406206,0.922947,0.4895137,0.8626204,0.9694967,0.9909759,0.9280082,0.9165683,0.9195946,0.9492829,0.9854757,0.9640526,0.942803,0.941518,0.9640311,0.9681696,0.9873597,0.9323298
"CTRL40",0.3398252,0.8620332,0.9548233,0.8709106,0.9752458,0.8987093,0.9136168,0.9539752,0.972886,0.9744271,0.9723722,0.8743303,0.9002848,0.9055407,0.8710422,0.9544549,0.9611242,0.9729936,0.9357261,0.9226506,0.004342553,0.9323274,0.8554492,0.9778826,0.8251961,0.9414035,0.9547745,0.9499726,0.9595924,0.9454538,0.3813389,0.9538925,0.9688866,0.01428393,0.871677,0.9363596,0.8826437,0.8884945,0.9713697,0.8599069,0.9564555,0.8987077,0.8650337,0.96957,0.9426886,0.9735146,0.7790919,0.9731088,0.920808,0.83912,0.9605785,0.5996105,0.7912161,0.752289,0.8943217,0.3841367,0.8528183,0.9586652,0.9843855,0.850552,0.908663,0.9294463,0.8453769,0.9880886,0.9553612,0.9451377,0.9619595,0.959313,0.9409672,0.9712191,0.9281286
"DLB35",0.3284225,0.7865325,0.9500005,0.8778484,0.9584586,0.9099626,0.8864241,0.9420479,0.9660184,0.9640615,0.9845833,0.9425968,0.9038855,0.8582236,0.9580276,0.9329064,0.9724198,0.9452924,0.9122399,0.9373919,0.004078176,0.9297164,0.8660922,0.9867629,0.8334589,0.9271887,0.9483018,0.943197,0.9609487,0.9503641,0.3538594,0.9637472,0.9644137,0.01754953,0.8875689,0.8881717,0.8682342,0.9130913,0.9487521,0.8316623,0.9513884,0.895133,0.8433378,0.9459401,0.9519682,0.9578805,0.6425546,0.9609583,0.9555438,0.822971,0.9665789,0.7142961,0.7318108,0.6923157,0.9407786,0.3844455,0.8500285,0.9506835,0.9719529,0.8301392,0.9212074,0.89874,0.8394448,0.9765814,0.9442291,0.9794703,0.9593598,0.9530632,0.9473139,0.9796474,0.908147
"PD9",0.2801125,0.8419214,0.8975233,0.9325468,0.9746029,0.8295815,0.9274579,0.9291726,0.9700942,0.9467918,0.9392809,0.9617327,0.8852399,0.9219381,0.842792,0.9339207,0.9656741,0.9294361,0.895314,0.9103708,0.006825176,0.933469,0.8963861,0.9794491,0.9149091,0.9345711,0.9601115,0.9451935,0.95793,0.9363646,0.3492111,0.9333721,0.9603796,0.02053895,0.8519088,0.8640516,0.9011579,0.8700071,0.9543922,0.8432746,0.961427,0.9086148,0.8715891,0.9620901,0.9453548,0.9366017,0.6719428,0.9834558,0.8596977,0.9088401,0.9682665,0.6764973,0.6938567,0.6977129,0.7750658,0.3427147,0.8565721,0.9744522,0.9857907,0.8054237,0.9287463,0.9011464,0.8549273,0.9760794,0.9471515,0.9371507,0.9679805,0.9485729,0.9444975,0.9843782,0.9448609
