"","cg17805199","cg07996485","cg10138044","cg23834525","cg23657782","cg21951848","cg13874979","cg05348770","cg06952719","cg06998282","cg14904079","cg00140235","cg05313680","cg00391977","cg23882019","cg13690038","cg20357416","cg14723638","cg15175129","cg14318068","cg01674530","cg12372924","cg21598294","cg09060462","cg07253510","cg08467643","cg24665412","cg11280964","cg11163901","cg18127922","cg02941135","cg02097462","cg18880384","cg01947949","cg14144850","cg14856606","cg04030905","cg22181664","cg10762038","cg11312462","cg02853470","cg25936334","cg01753595","cg16985117","cg27312391","cg20936920","cg24517989","cg11971077","cg12635019","cg08368441","cg26115216","cg17159550","cg05788267","cg09584003","cg13773306","cg22364932","cg16941122","cg16959863","cg13871037","cg24855045","cg14350358","cg07755528","cg03321592","cg22200330","cg14855519","cg03967521","cg07642754","cg08485937","cg00901585","cg25284031","cg06410591","cg23092527","cg22053720","cg25981350","cg21595526","cg09508356","cg20075042","cg08685832","cg05652783","cg20850582","cg24683035","cg19259574","cg15283292","cg15197657","cg24767698","cg07904447","cg00271390","cg10687936","cg24384430","cg18014247","cg23411587","cg00612672","cg03678860","cg10657611","cg05747963","cg16085649","cg22806431","cg15310800","cg11341440"
"CTRL42",0.7009244,0.8825668,0.8433058,0.08379945,0.9640023,0.9727853,0.9308175,0.940086,0.04437303,0.01036629,0.9214138,0.006174572,0.8078974,0.4622659,0.6734472,0.01617357,0.7389791,0.693998,0.2725696,0.8472606,0.5971505,0.973518,0.9566221,0.07152196,0.951195,0.8726194,0.9274542,0.03140811,0.005024028,0.3920583,0.5160355,0.8223113,0.568,0.07981403,0.9293421,0.8592417,0.009970512,0.8840255,0.9120252,0.8168865,0.8817527,0.0541144,0.396509,0.8416371,0.9781559,0.9510598,0.6785625,0.004337687,0.228981,0.01461316,0.8822103,0.5905411,0.9625915,0.723359,0.8185677,0.9674663,0.6009249,0.9439704,0.9499444,0.676063,0.8532621,0.5849651,0.04836571,0.04204364,0.2644696,0.005405104,0.7030628,0.936104,0.8383706,0.8293187,0.1540616,0.9738201,0.7658636,0.5444319,0.01645179,0.6459639,0.9121482,0.8848499,0.9423179,0.02277859,0.006439964,0.03048441,0.8709805,0.4453466,0.8909782,0.03959839,0.9259424,0.947002,0.1076328,0.0113649,0.9508835,0.8955091,0.8959885,0.9788238,0.9655341,0.4403579,0.6584418,0.9014481,0.883695
"PDD53",0.6880042,0.9123721,0.8373411,0.1648263,0.9455001,0.9303161,0.9849795,0.9565044,0.02913688,0.03045555,0.9433335,0.002399204,0.747181,0.4874905,0.6618263,0.009384984,0.7279698,0.700835,0.2293841,0.8837399,0.647583,0.9755058,0.9706349,0.02181663,0.9429368,0.8767815,0.9067614,0.03605336,0.01303106,0.3246789,0.5841778,0.8775716,0.465061,0.0293028,0.9290131,0.8433834,0.01437507,0.8921891,0.8860921,0.8489457,0.8910338,0.05369928,0.2924171,0.8378697,0.9763494,0.9699143,0.7554069,0.008416444,0.1285453,0.009292413,0.7635751,0.7437528,0.8934946,0.692435,0.6318402,0.9758925,0.6557868,0.9489952,0.955021,0.7640414,0.8471908,0.7049171,0.04558742,0.04430118,0.2126804,0.004264571,0.7921553,0.9235127,0.8488519,0.8227714,0.1869159,0.9641603,0.6885272,0.6162647,0.01124538,0.6918422,0.9161988,0.9387775,0.872752,0.02394551,0.007177962,0.02737461,0.9094039,0.3929981,0.9136473,0.02801105,0.9415387,0.9392624,0.08037599,0.009615641,0.9721617,0.8378172,0.8570887,0.9480522,0.9621088,0.357999,0.7603457,0.9492416,0.8376137
"PD40",0.7181846,0.9451338,0.7591798,0.09168634,0.9626194,0.9517532,0.9483853,0.9579794,0.0304184,0.03730566,0.9311311,0.003263403,0.7499283,0.4501536,0.6329597,0.02233528,0.7163698,0.7278917,0.2294749,0.8640815,0.6109147,0.9713312,0.9481382,0.04176817,0.9540229,0.880551,0.8759302,0.01952468,0.006242387,0.3676691,0.6223143,0.795866,0.5423806,0.05147168,0.9115966,0.8193516,0.01349096,0.9536049,0.8950289,0.854079,0.8913251,0.07170974,0.3672139,0.8800837,0.965951,0.9196515,0.6999623,6.399181e-05,0.1589224,0.01553921,0.858518,0.5415679,0.9274982,0.7530412,0.6352447,0.9765978,0.5961672,0.9156833,0.9322117,0.6546523,0.805643,0.7262216,0.03447924,0.04363178,0.2267842,0.007846897,0.7056938,0.9436596,0.8605001,0.8409314,0.182511,0.9558974,0.7008448,0.5287107,0.003138268,0.7264741,0.921966,0.9290124,0.9662552,0.02667935,0.008296055,0.03272201,0.9285956,0.4468833,0.853617,0.02639747,0.9435268,0.9518884,0.09070156,0.01592448,0.927386,0.8723593,0.808952,0.950911,0.9414671,0.4663825,0.5984706,0.9143414,0.9058472
"PDD44",0.7142098,0.9462281,0.7986039,0.1059803,0.969597,0.9237559,0.983786,0.9417497,0.03402865,0.07422724,0.9553541,0.00802249,0.7712075,0.4040383,0.7093065,0.02333602,0.7571339,0.5881714,0.2110018,0.8886128,0.5583366,0.9473689,0.9867954,0.06762723,0.8724197,0.8872075,0.8903203,0.05118274,0.00847516,0.3355503,0.5350088,0.8616129,0.526072,0.04214268,0.9158015,0.8863343,0.02445886,0.9206676,0.8802164,0.8119854,0.8865165,0.07427981,0.2918451,0.8475314,0.970406,0.9421816,0.581615,0.006387131,0.1896587,0.02005731,0.7668666,0.7068272,0.9518769,0.7349375,0.6475112,0.9576364,0.6046549,0.9316327,0.9435268,0.7234647,0.8091939,0.5900374,0.02997985,0.02628096,0.2188683,0.0004869798,0.7148858,0.8947058,0.8883128,0.8681438,0.1012364,0.9628283,0.6986104,0.6157062,0.01109021,0.594948,0.9053546,0.9119892,0.9642738,0.02291231,0.01672036,0.03676166,0.9242273,0.4008726,0.8662915,0.03196514,0.9522771,0.9402586,0.09824459,0.01835944,0.9555368,0.883755,0.875904,0.9313994,0.92381,0.4574242,0.7275698,0.9146756,0.8621616
"PD6",0.6192223,0.9647628,0.8949007,0.08692885,0.9402968,0.9350554,0.9667125,0.9674004,0.01022789,0.0489252,0.9424681,0.01212546,0.7946139,0.4706811,0.7223408,0.02299413,0.7804456,0.6031502,0.1481614,0.9123628,0.6564293,0.9520819,0.9806003,0.1198633,0.9522307,0.8861163,0.9224766,0.02164263,0.01607717,0.3451039,0.6174984,0.865046,0.5984977,0.03582021,0.8190403,0.840197,0.03132073,0.8846938,0.9284152,0.8743284,0.8837485,0.07421325,0.2719196,0.9071394,0.971736,0.938833,0.7548007,0.01239083,0.1516886,0.02082169,0.8059406,0.5839914,0.9166304,0.781793,0.5596213,0.9553897,0.6476738,0.9515627,0.8959227,0.7674827,0.8940677,0.5442162,0.04339378,0.02933427,0.2400937,0.0077195,0.7425969,0.9426813,0.8328167,0.7996477,0.1238007,0.9657642,0.8049424,0.5301924,0.01390465,0.6567585,0.9511301,0.9484388,0.9291709,0.02371773,0.01368301,0.03686738,0.9547899,0.4007607,0.8976433,0.02596303,0.976037,0.8230319,0.07753814,0.01282571,0.9354166,0.9139212,0.8670136,0.8475531,0.9809766,0.405529,0.6861606,0.9330439,0.8161492
"CTRL1",0.7009741,0.948985,0.822808,0.1092873,0.9348198,0.8935718,0.9593801,0.977464,0.01985003,0.05393077,0.9388492,0.009778744,0.7882361,0.4626773,0.6745909,0.02546107,0.7977655,0.7084468,0.1998001,0.9272932,0.6124742,0.9523551,0.971912,0.1512434,0.9206681,0.8943393,0.9454083,0.02568664,0.01675781,0.4091097,0.6372987,0.8124542,0.5426683,0.0416749,0.8914018,0.8394847,0.01691642,0.8930689,0.9052508,0.8581734,0.8742688,0.0527735,0.2759277,0.9039444,0.956003,0.9175913,0.6842294,0.008699466,0.1584633,0.02877698,0.8913934,0.7262791,0.9265767,0.7094507,0.5798606,0.9724157,0.5903025,0.9628778,0.9081216,0.7980057,0.9063081,0.6140868,0.04290009,0.04104163,0.1331599,0.0061535,0.8215612,0.9304024,0.8891794,0.7993467,0.1118385,0.9457695,0.668849,0.6092683,0.01163095,0.7232405,0.9139055,0.9333176,0.9389465,0.03295134,0.01315284,0.02874225,0.9165204,0.3676159,0.8990357,0.03187479,0.9649423,0.9011209,0.08668514,0.02182823,0.9534767,0.8447639,0.8697375,0.9287815,0.9575851,0.4698848,0.7292146,0.888926,0.9221044
"PD35",0.7645046,0.9288591,0.7792449,0.09450092,0.9765893,0.9566932,0.9505421,0.9538029,0.03008936,0.004088989,0.9257625,0.002019765,0.7184241,0.4299042,0.6918543,0.01842584,0.7088594,0.6315443,0.2062978,0.8464405,0.6475985,0.9767924,0.9662747,0.09928071,0.9132291,0.8956858,0.9136288,0.04293482,0.007802875,0.2969499,0.568044,0.7754689,0.5563182,0.0467403,0.9254248,0.9046451,0.01884125,0.8790746,0.9159017,0.8320469,0.8584495,0.05145642,0.314328,0.8971493,0.9705125,0.9493989,0.7000969,0.009232036,0.169249,0.01409736,0.7830189,0.5512265,0.9382691,0.6896904,0.6708281,0.9532542,0.6288064,0.8754176,0.9673774,0.7171891,0.8807075,0.6522992,0.04670446,0.03707679,0.22853,0.001651196,0.7749726,0.8727235,0.8357316,0.8531636,0.1307312,0.9573974,0.6855811,0.6263923,0.007726796,0.63607,0.8943414,0.9278496,0.9093748,0.03045305,0.01433239,0.04996714,0.9481419,0.4053868,0.9075134,0.03093323,0.9434509,0.9523506,0.1018931,0.01150689,0.9448731,0.8560112,0.8771502,0.9436358,0.9481039,0.4865335,0.6919132,0.9399122,0.8284897
"PDD41",0.6769341,0.9182965,0.7857373,0.1008507,0.9361978,0.9321582,0.9659182,0.9526797,0.01024897,0.04477607,0.8988592,0.008023023,0.8006944,0.3767502,0.6810563,0.01986661,0.7402599,0.6276171,0.2180636,0.9218925,0.5032897,0.986472,0.9389819,0.0556156,0.9308702,0.9035119,0.8971363,0.05608448,0.01213468,0.328401,0.628234,0.8159266,0.4502417,0.06679458,0.9329817,0.8324606,0.009475131,0.8470315,0.8564802,0.8351441,0.8407335,0.05316339,0.2447674,0.8116779,0.950495,0.9318551,0.5693793,0.004165753,0.2111093,0.01659612,0.8967569,0.5468276,0.9389885,0.6938061,0.6774418,0.9894989,0.6403349,0.9505393,0.9435114,0.6711919,0.8724203,0.5657289,0.04690687,0.03087826,0.2534314,0.006523508,0.7288071,0.9086101,0.8004186,0.8383545,0.1251932,0.9324113,0.6312957,0.6341596,0.005934718,0.6229436,0.916465,0.9365424,0.7600585,0.03001346,0.009929907,0.03750754,0.887013,0.3406892,0.8163085,0.03170818,0.9202256,0.9451574,0.1153247,0.01716824,0.9687921,0.8601915,0.8933851,0.9172961,0.9422054,0.3169273,0.6447228,0.9228073,0.8056086
"PDD70",0.7233073,0.9110749,0.7862652,0.0864873,0.9582867,0.9488292,0.9730999,0.9466802,0.0523428,0.05366297,0.9189969,0.004814697,0.7838095,0.5015765,0.7676339,0.01217285,0.7763661,0.5816832,0.1942396,0.8527873,0.5998459,0.9757959,0.9354623,0.07230076,0.948935,0.8766409,0.9372285,0.03982462,0.006765548,0.2722729,0.4748549,0.83247,0.5341009,0.04253098,0.8969002,0.855984,0.009445699,0.9046389,0.857096,0.8066091,0.8417772,0.05179387,0.3347957,0.9081434,0.9669301,0.9359309,0.7026062,0.00625323,0.1524366,0.02030457,0.8822212,0.6138699,0.9218171,0.6753342,0.6111832,0.9507992,0.6355912,0.93936,0.940012,0.6677194,0.8224387,0.6130061,0.03491389,0.01895851,0.1820823,0.0017547,0.803373,0.9357472,0.8988679,0.7960424,0.1556705,0.9736646,0.7345022,0.5222816,0.006742739,0.6533858,0.9235197,0.9468244,0.9173284,0.02556428,0.000826731,0.02529324,0.90912,0.3866388,0.7854143,0.03784229,0.9633429,0.9514224,0.04738297,0.01712073,0.9529129,0.8610372,0.8478172,0.9519517,0.9616168,0.3664949,0.7288303,0.956056,0.8968839
"PD59",0.6492007,0.9582687,0.799842,0.06582307,0.9439646,0.9477345,0.9650367,0.9535711,0.02470341,0.07232841,0.9163113,0.00959974,0.8388396,0.4215721,0.6299203,0.01566448,0.7348463,0.6299708,0.2210411,0.7909806,0.5839864,0.9798595,0.9599194,0.07905394,0.9569138,0.8590785,0.9192967,0.03135074,0.005519356,0.348084,0.5251513,0.8078179,0.3918473,0.03327338,0.9359172,0.8846567,0.008310308,0.9368191,0.8703791,0.8513336,0.8884974,0.07346839,0.3027117,0.8858589,0.9820978,0.9558879,0.6346846,0.006417411,0.2051003,0.01955565,0.8178739,0.5366936,0.9433285,0.6178918,0.6300323,0.9608112,0.6433141,0.9419278,0.9624433,0.67698,0.858102,0.5333264,0.03045889,0.0304927,0.2483953,0.0046206,0.7206107,0.9437058,0.8610157,0.8226101,0.131036,0.963748,0.660844,0.5087719,0.01103434,0.6520023,0.9225686,0.9347835,0.9509219,0.02643823,0.007309348,0.03109663,0.9200688,0.4378631,0.8926249,0.03109631,0.9403766,0.9540632,0.02249343,0.01280834,0.951195,0.8825443,0.8343384,0.9501956,0.9350993,0.4025986,0.5547031,0.9095763,0.8903973
"PDD28",0.707069,0.9394643,0.8257725,0.06589128,0.9646898,0.9459347,0.9855719,0.9549133,0.01584123,0.01743339,0.9376156,0.009369739,0.5457969,0.4242612,0.6158516,0.02038492,0.4687423,0.693081,0.1362464,0.8832532,0.5609574,0.979484,0.9780674,0.07864976,0.8697455,0.9068798,0.8925367,0.04740567,0.005524455,0.3688223,0.5717993,0.8472916,0.6622384,0.03026653,0.8686631,0.8242097,0.01098769,0.8937504,0.8603261,0.7523301,0.8415344,0.07890794,0.3045753,0.8855243,0.9787461,0.973732,0.7220154,0.007327081,0.1141063,0.01616773,0.8468743,0.6767397,0.947613,0.7733107,0.6452381,0.9626003,0.6549995,0.9500735,0.9044765,0.6732647,0.7983581,0.7516833,0.0651403,0.02072848,0.2946258,0.002281903,0.7877488,0.8424234,0.8879775,0.8162478,0.07537517,0.9650748,0.6533335,0.6504646,0.008042066,0.7119565,0.9445871,0.9617807,0.9495056,0.01895407,0.007039055,0.01948004,0.9315523,0.4359283,0.9274894,0.0266987,0.9728356,0.959306,0.1074003,0.02023412,0.9598995,0.8807514,0.8656186,0.9467477,0.9755097,0.4727167,0.719907,0.9411366,0.7286536
"CTRL78",0.6766856,0.9399969,0.8931233,0.08042956,0.9352848,0.9115091,0.9629646,0.9806881,0.03676864,0.07176928,0.9222576,0.01267963,0.7350394,0.4175612,0.6470788,0.02870541,0.8119992,0.6959462,0.2090804,0.8193164,0.6056241,0.9559879,0.9722156,0.1003552,0.929208,0.923355,0.90756,0.03648231,0.01406553,0.3642767,0.5269398,0.8489806,0.6880445,0.06863528,0.8193247,0.830403,0.02824863,0.8596023,0.9138105,0.7850833,0.8047267,0.04988167,0.3364929,0.8228857,0.9471813,0.8717141,0.7527593,0.01227259,0.1784049,0.02794063,0.8570971,0.6143539,0.9081739,0.7299687,0.5807433,0.9586204,0.6308158,0.9261078,0.8924717,0.7417017,0.8972784,0.7464034,0.04531908,0.03971989,0.2371926,0.01074887,0.7548484,0.9169803,0.8542284,0.7836867,0.09792355,0.9436113,0.7929958,0.5106604,0.01211034,0.5982516,0.9535735,0.9388789,0.950085,0.02238664,0.02024737,0.04113437,0.9358648,0.4615335,0.9147859,0.03826654,0.9588251,0.8745277,0.100763,0.0267603,0.938936,0.8743471,0.8765892,0.928612,0.9540141,0.4768017,0.7370813,0.8624682,0.8110076
"CTRL64",0.6396345,0.9651616,0.8688778,0.06499016,0.9660354,0.9599814,0.9456701,0.9817593,0.02228045,0.04555334,0.9272862,0.009360635,0.7369889,0.3752231,0.599939,0.02424061,0.7212652,0.7122179,0.1896838,0.7900848,0.5626695,0.9770208,0.9360793,0.1775306,0.9203497,0.9129226,0.9678818,0.02332971,0.01283456,0.2669514,0.44099,0.7709032,0.5415682,0.0476084,0.8870252,0.7809676,0.01742067,0.9249017,0.8895604,0.8398301,0.7822649,0.08484762,0.2521855,0.8999514,0.9662577,0.9120055,0.638186,0.009101985,0.1125659,0.0257661,0.8850882,0.4803717,0.8740925,0.6328505,0.6478613,0.9597608,0.6200988,0.9151572,0.8508175,0.6241865,0.7369255,0.632813,0.04985745,0.02971355,0.1731969,0.005624985,0.6345653,0.9273557,0.8567895,0.8217733,0.1131929,0.9573791,0.7253838,0.5348837,0.01379827,0.6758158,0.9340897,0.9340549,0.8368261,0.02982693,0.01232733,0.02738393,0.9063738,0.4586414,0.8926353,0.0232177,0.9480463,0.9676487,0.06449414,0.01212754,0.9474211,0.8749139,0.7185302,0.9546345,0.9562147,0.4254408,0.6595875,0.9380757,0.8336512
"PD48",0.7088011,0.9440798,0.8115704,0.08515622,0.9664034,0.963605,0.9712999,0.9588125,0.06316672,0.05188326,0.8871813,0.008862983,0.8065644,0.4393993,0.6567119,0.02568405,0.6595104,0.766763,0.1965955,0.7821762,0.4999955,0.9755319,0.9587897,0.03028912,0.9353764,0.8721001,0.9023494,0.04820716,0.01642159,0.3604363,0.4656636,0.822405,0.529479,0.04948204,0.945785,0.8138943,0.01130632,0.8881739,0.826559,0.8664033,0.8462523,0.06417819,0.3046808,0.8974426,0.9673577,0.9610774,0.6922261,0.007022291,0.1679794,0.02737048,0.808906,0.5303619,0.9393865,0.5931537,0.7316617,0.9681092,0.5737519,0.902783,0.9210975,0.5876516,0.7437388,0.6504958,0.03703419,0.03430876,0.2031792,0.006044179,0.5204378,0.9220034,0.7621112,0.7458397,0.1438463,0.9622448,0.698965,0.5078788,0.009590918,0.6281711,0.9085368,0.9141834,0.9794415,0.03895484,0.01100602,0.02924581,0.902284,0.4377779,0.8471938,0.02910762,0.9308468,0.9325433,0.06324283,0.02870646,0.9564708,0.8596855,0.7451625,0.9447865,0.9183687,0.3587704,0.6581656,0.9433528,0.8488979
"PD21",0.700624,0.9576976,0.8258804,0.1055019,0.9577572,0.9575752,0.9670454,0.9524732,0.01245684,0.07006632,0.9490979,0.01497529,0.727813,0.410781,0.6656171,0.02491432,0.7937232,0.6232126,0.2471464,0.8987004,0.5655413,0.9766274,0.9540449,0.1869899,0.9394825,0.8805505,0.9193961,0.02925005,0.01437543,0.3835613,0.7187968,0.8330895,0.5158004,0.02690058,0.9261792,0.838913,0.008418743,0.9006778,0.884711,0.8226152,0.8845936,0.0784,0.275798,0.8361849,0.9718781,0.9415634,0.6722073,0.01055897,0.09223957,0.01675008,0.7360507,0.5978185,0.9478212,0.7470007,0.7001695,0.9762267,0.6712816,0.9487825,0.8911222,0.7668156,0.8473492,0.6689494,0.02307759,0.02943379,0.2984439,0.01140605,0.8088556,0.9264705,0.899345,0.7839069,0.1311258,0.9648856,0.6968581,0.6675712,0.007804972,0.6003351,0.9198106,0.9432107,0.8786981,0.02182959,0.01017583,0.02003482,0.9373459,0.4425365,0.9544561,0.03222847,0.9340621,0.9650669,0.1229676,0.01391014,0.9499331,0.8662742,0.8581353,0.9533593,0.9647573,0.3837827,0.7822984,0.9399156,0.8096781
"CTRL95",0.7509477,0.9164791,0.878663,0.09701732,0.9778052,0.9621008,0.9782059,0.9512006,0.01911271,0.009726729,0.9046048,0.004655239,0.7687606,0.4790073,0.5898706,0.006927929,0.778034,0.7242643,0.2262838,0.8071612,0.6214617,0.9829421,0.9631128,0.1166493,0.9219974,0.913136,0.8551714,0.02851616,0.01261746,0.3763169,0.5337004,0.8548622,0.6548332,0.06210169,0.8981391,0.8608768,0.01377524,0.9073414,0.842258,0.8366553,0.8664612,0.05248307,0.3380085,0.8899176,0.981275,0.9519575,0.6768374,0.001822497,0.143071,0.02370788,0.8471935,0.6649255,0.9535043,0.7706056,0.6117094,0.9653131,0.6070076,0.9100247,0.9525526,0.726157,0.9017884,0.5919881,0.034556,0.03541212,0.2207426,0.005751526,0.7777703,0.9490885,0.8706803,0.8369583,0.08208238,0.9411388,0.750527,0.4621095,0.002013943,0.7433394,0.9029087,0.9082051,0.9523367,0.02215005,0.008617698,0.02605941,0.92069,0.4493097,0.8984547,0.03456813,0.9484246,0.9575945,0.06476876,0.01983633,0.9301614,0.8699639,0.8409732,0.9259867,0.9307834,0.4807426,0.6478379,0.9209931,0.8605141
"CTRL57",0.7413579,0.9155072,0.821615,0.1079896,0.9696227,0.9542062,0.9578305,0.9495477,0.02576584,0.009725079,0.9082367,0.006943429,0.833367,0.4066056,0.7042041,0.0008312552,0.769855,0.701847,0.1746163,0.7963321,0.5629219,0.9783988,0.9668959,0.05689741,0.9525555,0.8793742,0.922702,0.03324429,0.01670567,0.324077,0.4724717,0.7845156,0.5394749,0.02713435,0.8412602,0.7740395,0.01065432,0.9100389,0.8708593,0.8353065,0.8717521,0.06386249,0.2920639,0.8969506,0.9868352,0.9301732,0.6844239,0.001656511,0.1944425,0.01215521,0.901975,0.5116941,0.9538014,0.6158411,0.7188828,0.9734898,0.622291,0.8836918,0.95317,0.7182011,0.8020929,0.5446884,0.02483637,0.02109285,0.1695441,0.001833336,0.5414562,0.9365316,0.8448834,0.8141544,0.1007411,0.979542,0.7046392,0.5542895,0.004254164,0.6169365,0.9089531,0.9204472,0.9539056,0.02175945,0.009182335,0.02501293,0.9257687,0.402603,0.8507629,0.03477437,0.9465402,0.9278817,0.06101377,0.01100013,0.9543445,0.859794,0.8009371,0.9685586,0.9557083,0.4434283,0.5472274,0.9331125,0.8982674
"PDD30",0.6859256,0.9338584,0.8172118,0.1005579,0.930833,0.9249844,0.9636258,0.9384162,0.02354298,0.0400253,0.9217632,0.01062356,0.7868477,0.480306,0.6961841,0.01774841,0.7627771,0.6343568,0.2332438,0.8956753,0.6254332,0.9802087,0.9807452,0.06153946,0.9610659,0.8329178,0.8550454,0.02579514,0.01554019,0.314083,0.6180204,0.8283689,0.4449429,0.06215124,0.8900729,0.8944966,0.02269219,0.9384747,0.9146912,0.7646697,0.8860361,0.06723338,0.3712619,0.9057563,0.962504,0.8967262,0.6283185,0.007184887,0.1935944,0.02771415,0.9131382,0.5326224,0.9317992,0.7125536,0.5359612,0.9758657,0.6194494,0.9397437,0.9131646,0.6763688,0.8358164,0.6112197,0.04974889,0.04919668,0.2094587,0.005635443,0.8020409,0.9318395,0.8495367,0.8471836,0.1820647,0.934053,0.6782747,0.5416518,0.001549267,0.609675,0.9266136,0.9357065,0.9778205,0.02556824,0.009147116,0.03873999,0.9302424,0.4015222,0.8732624,0.0386448,0.9643893,0.9408936,0.06801128,0.01081327,0.9619764,0.9319161,0.8862306,0.9705745,0.9692735,0.3534239,0.6822985,0.9537729,0.8656271
"PDD22",0.6283073,0.9654517,0.8660474,0.08448225,0.9660942,0.9630992,0.9682197,0.9626211,0.01541421,0.04686293,0.9633463,0.007737791,0.7963074,0.4765281,0.816727,0.01600341,0.7890377,0.5462906,0.2451432,0.9394961,0.5995865,0.9893113,0.9743866,0.04418284,0.9434879,0.8846349,0.9012372,0.0356585,0.01135322,0.3168316,0.7351878,0.8532434,0.3645388,0.04446357,0.9404413,0.8561635,0.007544991,0.9389356,0.8731139,0.8443952,0.8597029,0.06172402,0.2583023,0.8554705,0.9762981,0.974855,0.6723108,0.00213774,0.09218466,0.01970216,0.8509491,0.6067018,0.9459946,0.7520926,0.7482605,0.9757288,0.6676164,0.9657331,0.9347808,0.7998289,0.9236108,0.6121181,0.04535128,0.01904704,0.1680997,0.000877611,0.8637028,0.9079889,0.8450229,0.8039058,0.1178227,0.9727147,0.6752081,0.6545455,0.01135598,0.6444282,0.9145372,0.9402433,0.909463,0.03561743,0.008460888,0.02709433,0.9504113,0.4142643,0.9050136,0.02642602,0.9569598,0.9090111,0.1094461,0.02096107,0.9644042,0.8376797,0.9321929,0.9635444,0.9577839,0.3510652,0.7046773,0.9475095,0.8712968
"DLB15",0.6888506,0.9510041,0.7943919,0.109308,0.9422755,0.9372532,0.9737429,0.9601494,0.02928406,0.0740757,0.9485231,0.011727,0.6262359,0.3804289,0.6531217,0.02584654,0.7913801,0.5832291,0.2031196,0.8688389,0.5741881,0.9796847,0.9500413,0.112152,0.8776973,0.8393274,0.8861694,0.04023085,0.02064685,0.277774,0.5930481,0.8332799,0.5784876,0.05196629,0.909824,0.8392709,0.02141224,0.8142551,0.8824043,0.7426125,0.8802568,0.06485888,0.2355187,0.8934845,0.9629915,0.9163695,0.5869115,0.01473245,0.1118773,0.0377305,0.8775925,0.6277106,0.9243867,0.6843306,0.7139257,0.9713277,0.6413951,0.9231595,0.9378926,0.7811515,0.844999,0.638658,0.03375042,0.03011632,0.299524,0.01572267,0.6882421,0.8401062,0.8281128,0.7790834,0.08262436,0.9715451,0.6247259,0.5875831,0.0235732,0.6803288,0.9164126,0.9582292,0.9435296,0.03160631,0.02645903,0.03932447,0.9200156,0.4310399,0.9313783,0.03675977,0.9413212,0.9241836,0.1355142,0.02193783,0.9287727,0.852485,0.8351315,0.9472812,0.9631137,0.2828699,0.6657854,0.9322688,0.755469
"PD50",0.7439557,0.916528,0.8242328,0.09461847,0.9599682,0.9614215,0.9800259,0.9747683,0.04569923,0.02473715,0.9262178,0.004302499,0.8157527,0.4472462,0.6849046,0.01350621,0.7318107,0.7056027,0.2649909,0.8490408,0.606217,0.9776607,0.9641774,0.04243213,0.9565707,0.8608681,0.9329761,0.04713328,0.01004614,0.302571,0.4989064,0.7605141,0.5031956,0.03939093,0.9135725,0.8420549,0.0103971,0.954984,0.8831466,0.8673788,0.9141589,0.05521041,0.2865496,0.8886985,0.9733563,0.9633335,0.6365729,0.0112017,0.182529,0.01617807,0.8740286,0.5425651,0.9374527,0.622991,0.6723039,0.9774808,0.6583702,0.9095351,0.8867333,0.6631238,0.7706884,0.5633289,0.03810807,0.03576613,0.1673638,0.001988049,0.6960127,0.947522,0.8564493,0.8008003,0.1112757,0.9390774,0.638898,0.5280253,0.01008386,0.6710313,0.9061479,0.9177104,0.9558626,0.03514159,0.01352657,0.03144264,0.9246608,0.4167343,0.9405423,0.02911636,0.9426533,0.9640482,0.08507448,0.01483654,0.9468749,0.8827513,0.827944,0.9380078,0.951567,0.4016757,0.6475241,0.9433886,0.8504362
"CTRL29",0.5318869,0.9318551,0.8028186,0.08140955,0.9177673,0.9631974,0.9503216,0.9008065,0.0334783,0.01244817,0.9283147,0.008371261,0.7282415,0.4170671,0.6015876,0.01381715,0.6665052,0.5260311,0.2613199,0.9030278,0.5354154,0.991547,0.9689142,0.04717019,0.9607017,0.832532,0.7361741,0.02616127,0.002846075,0.2569257,0.6023076,0.8342986,0.1671498,0.06368715,0.8907787,0.8274007,0.01015979,0.8957819,0.8002039,0.8323859,0.8281697,0.0595082,0.2037492,0.790114,0.9764251,0.9574357,0.566224,0.003469211,0.106369,0.02129075,0.8625946,0.6253493,0.9763861,0.6198154,0.6803536,0.9589231,0.6460454,0.9195306,0.9679811,0.6424524,0.9279288,0.5202261,0.05250749,0.01645914,0.1490545,0.007052803,0.6915529,0.85274,0.7878171,0.7455902,0.2470497,0.9673784,0.5992956,0.7127887,0.0007902461,0.6170295,0.8768862,0.8963552,0.9305733,0.01813003,0.01412405,0.03515287,0.8891138,0.3599326,0.8607048,0.02894402,0.8904124,0.9116769,0.05808985,0.01665878,0.970496,0.710782,0.8903476,0.956359,0.9452018,0.2786176,0.6565185,0.9112853,0.7972608
